session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,time_stamp,seconds_on_page,subsession_pk,auto_submitted
2,10,i8bm9jca,17,matrix_new,Results,1564768663,8,2,FALSE
2,10,i8bm9jca,18,matrix_new,Payoff2,1564768669,6,2,FALSE
2,10,i8bm9jca,19,discreteT,Introduction,1564768684,15,2,FALSE
2,10,i8bm9jca,20,discreteT,Introduction2,1564768699,15,2,FALSE
2,10,i8bm9jca,21,discreteT,Discrete,1564768705,6,2,FALSE
2,10,i8bm9jca,22,discreteT,Belief,1564768737,32,2,FALSE
2,10,i8bm9jca,23,discreteT,Belief3,1564768765,28,2,FALSE
2,10,i8bm9jca,24,discreteT,Results,1564768771,6,2,FALSE
2,10,i8bm9jca,25,openquestion,Introduction,1564768826,55,2,FALSE
2,10,i8bm9jca,26,openquestion,Likert,1564768865,39,2,FALSE
2,10,i8bm9jca,27,scl,Instructions,1564768874,9,2,FALSE
2,10,i8bm9jca,28,scl,Decision,1564768887,13,2,FALSE
2,10,i8bm9jca,29,scl,Results,1564768891,4,2,FALSE
2,10,i8bm9jca,30,BFI_S,Introduction,1564768892,1,2,FALSE
2,10,i8bm9jca,31,BFI_S,Questionaire,1564768915,23,2,FALSE
2,10,i8bm9jca,32,final_payoff,Results,1564768919,4,2,FALSE
2,10,i8bm9jca,33,payment_info,PaymentInfo,1564768920,1,2,FALSE
2,14,vpq6hhfr,1,Demographic,Introduction,1564769967,1519,2,FALSE
2,14,vpq6hhfr,2,Demographic,Questionaire,1564769981,14,2,FALSE
2,14,vpq6hhfr,3,matrix_new,Start,1564770014,33,2,FALSE
2,14,vpq6hhfr,4,matrix_new,training,1564770031,17,2,FALSE
2,14,vpq6hhfr,5,matrix_new,training2,1564770035,4,2,FALSE
2,14,vpq6hhfr,6,matrix_new,training3,1564770038,3,2,FALSE
2,14,vpq6hhfr,7,matrix_new,q1,1564770047,9,2,FALSE
2,14,vpq6hhfr,8,matrix_new,q2,1564770060,13,2,FALSE
2,14,vpq6hhfr,9,matrix_new,q3,1564770066,6,2,FALSE
2,14,vpq6hhfr,10,matrix_new,q4,1564770070,4,2,FALSE
